solicitud;tipo_tramite;superficie;fecha_habilitacion;numero_expediente;codigo_rubro;descripcion_rubro;seccion;manzana;parcela;titulares;direccion;calle;altura;Dirección Normalizada;Dirección Normalizada (ArcGIS);Calle;Altura;Código de Calle;Geocodificación;X_5347;Y_5347;ano_habilitacion;rubros
387505;Habilitación;133,75;11/6/2019;EX-2019-17935760- -GCABA-DGHP;6.1.16;SALÓN DE ESTÉTICA;23;21;6;BORELLI, LORENA BEATRIZ;11 DE SEPTIEMBRE DE 1888 1078;11 DE SEPTIEMBRE DE 1888;1078;11 DE SEPTIEMBRE DE 1888 1078;1078 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;1078;16025;POINT(101882.012731 106772.942656);5643001.843187290;6174119.840837480;2019;1. Comercio Minorista de Cercanía
375044;Habilitación;92,24;2/7/2019;EX-2019-20932754- -GCABA-DGHP;602020;CAFÉ BAR;25;053B;010A;ROMAN DURRUTHY, ESNAYDER;11 DE SEPTIEMBRE DE 1888 2451;11 DE SEPTIEMBRE DE 1888;2451;11 DE SEPTIEMBRE DE 1888 2451;2451 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2451;16025;POINT(100858.704621 108207.354566);5642000.290775130;6175569.996091340;2019;2. Gastronomía y Alimentación
375044;Habilitación;92,24;2/7/2019;EX-2019-20932754- -GCABA-DGHP;602030;DESPACHO DE BEBIDAS,WISQUERIA, CERVECERIA;25;053B;010A;ROMAN DURRUTHY, ESNAYDER;11 DE SEPTIEMBRE DE 1888 2451;11 DE SEPTIEMBRE DE 1888;2451;11 DE SEPTIEMBRE DE 1888 2451;2451 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2451;16025;POINT(100858.704621 108207.354566);5642000.290775130;6175569.996091340;2019;2. Gastronomía y Alimentación
230640;Habilitación;122,28;9/1/2019;;602000;RESTAURANTE, CANTINA;27;58;28;MARQUEVICH, MAGDALENA;11 DE SEPTIEMBRE DE 1888 2620;11 DE SEPTIEMBRE DE 1888;2620;11 DE SEPTIEMBRE DE 1888 2620;2620 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2620;16025;POINT(100736.998201 108360.500983);5641880.905799350;6175725.012383870;2019;2. Gastronomía y Alimentación
230640;Habilitación;122,28;9/1/2019;;602010;CASA DE LUNCH;27;58;28;MARQUEVICH, MAGDALENA;11 DE SEPTIEMBRE DE 1888 2620;11 DE SEPTIEMBRE DE 1888;2620;11 DE SEPTIEMBRE DE 1888 2620;2620 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2620;16025;POINT(100736.998201 108360.500983);5641880.905799350;6175725.012383870;2019;2. Gastronomía y Alimentación
230640;Habilitación;122,28;9/1/2019;;602020;CAFÉ BAR;27;58;28;MARQUEVICH, MAGDALENA;11 DE SEPTIEMBRE DE 1888 2620;11 DE SEPTIEMBRE DE 1888;2620;11 DE SEPTIEMBRE DE 1888 2620;2620 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2620;16025;POINT(100736.998201 108360.500983);5641880.905799350;6175725.012383870;2019;2. Gastronomía y Alimentación
230640;Habilitación;122,28;9/1/2019;;602030;DESPACHO DE BEBIDAS,WISQUERIA, CERVECERIA;27;58;28;MARQUEVICH, MAGDALENA;11 DE SEPTIEMBRE DE 1888 2620;11 DE SEPTIEMBRE DE 1888;2620;11 DE SEPTIEMBRE DE 1888 2620;2620 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2620;16025;POINT(100736.998201 108360.500983);5641880.905799350;6175725.012383870;2019;2. Gastronomía y Alimentación
230640;Habilitación;122,28;9/1/2019;;602040;CASA DE COMIDAS ROTISERIA;27;58;28;MARQUEVICH, MAGDALENA;11 DE SEPTIEMBRE DE 1888 2620;11 DE SEPTIEMBRE DE 1888;2620;11 DE SEPTIEMBRE DE 1888 2620;2620 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2620;16025;POINT(100736.998201 108360.500983);5641880.905799350;6175725.012383870;2019;2. Gastronomía y Alimentación
230640;Habilitación;122,28;9/1/2019;;602050;COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL;27;58;28;MARQUEVICH, MAGDALENA;11 DE SEPTIEMBRE DE 1888 2620;11 DE SEPTIEMBRE DE 1888;2620;11 DE SEPTIEMBRE DE 1888 2620;2620 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2620;16025;POINT(100736.998201 108360.500983);5641880.905799350;6175725.012383870;2019;1. Comercio Minorista de Cercanía
230640;Habilitación;122,28;9/1/2019;;602070;CONFITERIA;27;58;28;MARQUEVICH, MAGDALENA;11 DE SEPTIEMBRE DE 1888 2620;11 DE SEPTIEMBRE DE 1888;2620;11 DE SEPTIEMBRE DE 1888 2620;2620 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2620;16025;POINT(100736.998201 108360.500983);5641880.905799350;6175725.012383870;2019;2. Gastronomía y Alimentación
384469;Habilitación;27,65;10/7/2019;EX-2019-21756378- -GCABA-DGHP;6.1;SERVICIOS PARA LA VIVIENDA Y SUS OCUPANTES;27;71;10;GARIBALDI, ESTELA RAQUEL;11 DE SEPTIEMBRE DE 1888 2873;11 DE SEPTIEMBRE DE 1888;2873;11 DE SEPTIEMBRE DE 1888 2873;2873 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;2873;16025;POINT(100573.801712 108630.869446);5641721.812084770;6175997.894922270;2019;3. Servicios Profesionales y Oficinas
386682;Habilitación;101,9;24/7/2019;EX-2019-23220711- -GCABA-DGHP;1.8;COMERCIO MINORISTA EXCLUIDO COMESTIBLES COMO USO PRINCIPAL;27;78;1;MASCARO, JORGE CARLOS;11 DE SEPTIEMBRE DE 1888 3581;11 DE SEPTIEMBRE DE 1888;3581;11 DE SEPTIEMBRE DE 1888 3581;3581 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;3581;16025;POINT(100184.166693 109272.592144);5641341.914166;6176645.618408510;2019;1. Comercio Minorista de Cercanía
386682;Habilitación;101,9;24/7/2019;EX-2019-23220711- -GCABA-DGHP;6.1;SERVICIOS PARA LA VIVIENDA Y SUS OCUPANTES;27;78;1;MASCARO, JORGE CARLOS;11 DE SEPTIEMBRE DE 1888 3581;11 DE SEPTIEMBRE DE 1888;3581;11 DE SEPTIEMBRE DE 1888 3581;3581 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;3581;16025;POINT(100184.166693 109272.592144);5641341.914166;6176645.618408510;2019;3. Servicios Profesionales y Oficinas
382771;Habilitación;91,5;25/9/2019;EX-2019-29860750- -GCABA-DGHP;1.5;ALIMENTACIÓN EN GENERAL Y GASTRONOMÍA;29;92;005C;Rolon, Luis Alberto;11 DE SEPTIEMBRE DE 1888 3625;11 DE SEPTIEMBRE DE 1888;3625;11 DE SEPTIEMBRE DE 1888 3625;3625 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;3625;16025;POINT(100158.835979 109314.889443);5641317.225241450;6176688.305829000;2019;2. Gastronomía y Alimentación
357505;Habilitación;115,86;15/1/2019;EX-2019-03021780- -MGEYA-DGHP;700402;LABORATORIO DE ESTUDIOS ESPECIALES;29;100;11;IGENOMIX ARGENTINA SA;11 DE SEPTIEMBRE DE 1888 4237;11 DE SEPTIEMBRE DE 1888;4237;11 DE SEPTIEMBRE DE 1888 4237;4237 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;4237;16025;POINT(99852.2409826 109819.245867);5641018.282281330;6177197.382785850;2019;4. Salud y Estética
373675;Habilitación;166,96;3/9/2019;EX-2019-27291540- -GCABA-DGHP;601030;COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION);23;18;7;MABERTIN S.R.L.;11 DE SEPTIEMBRE DE 1888 980;11 DE SEPTIEMBRE DE 1888;980;11 DE SEPTIEMBRE DE 1888 980;980 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;980;16025;POINT(101968.132395 106690.844634);5643086.720096820;6174036.421736160;2019;1. Comercio Minorista de Cercanía
373675;Habilitación;166,96;3/9/2019;EX-2019-27291540- -GCABA-DGHP;602000;RESTAURANTE, CANTINA;23;18;7;MABERTIN S.R.L.;11 DE SEPTIEMBRE DE 1888 980;11 DE SEPTIEMBRE DE 1888;980;11 DE SEPTIEMBRE DE 1888 980;980 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;980;16025;POINT(101968.132395 106690.844634);5643086.720096820;6174036.421736160;2019;2. Gastronomía y Alimentación
373675;Habilitación;166,96;3/9/2019;EX-2019-27291540- -GCABA-DGHP;602010;CASA DE LUNCH;23;18;7;MABERTIN S.R.L.;11 DE SEPTIEMBRE DE 1888 980;11 DE SEPTIEMBRE DE 1888;980;11 DE SEPTIEMBRE DE 1888 980;980 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;980;16025;POINT(101968.132395 106690.844634);5643086.720096820;6174036.421736160;2019;2. Gastronomía y Alimentación
373675;Habilitación;166,96;3/9/2019;EX-2019-27291540- -GCABA-DGHP;602050;COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL;23;18;7;MABERTIN S.R.L.;11 DE SEPTIEMBRE DE 1888 980;11 DE SEPTIEMBRE DE 1888;980;11 DE SEPTIEMBRE DE 1888 980;980 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;980;16025;POINT(101968.132395 106690.844634);5643086.720096820;6174036.421736160;2019;1. Comercio Minorista de Cercanía
395484;Habilitación;57,05;22/7/2019;EX-2019-22820189- -GCABA-DGHP;6.1;SERVICIOS PARA LA VIVIENDA Y SUS OCUPANTES;49;152;005Ñ;Restrepo Navarro, Daniela;14 DE JULIO 1331;14 DE JULIO;1331;14 DE JULIO 1331;1331 14 DE JULIO;14 DE JULIO;1331;3102;POINT(100097.236938 105723.143506);5641200.914501870;6173097.119833610;2019;3. Servicios Profesionales y Oficinas
400225;Habilitación;399,8;14/8/2019;EX-2019-25309795- -GCABA-DGHP;1.3;COMERCIO MAYORISTA CON DEPÓSITO-ART. 3.12.5. A);49;131;032A;DIAGNOSTICA LUMAFRA S.R.L.;14 DE JULIO 618;14 DE JULIO;618;14 DE JULIO 618;618 14 DE JULIO;14 DE JULIO;618;3102;POINT(100043.369093 104731.810034);5641131.935015560;6172106.503296410;2019;6. Industria y Depósito
341668;Habilitación;1172,28;5/8/2019;EX-2019-24219860- -GCABA-DGHP;502449;FABRICACIÓN DE PRODUCTOS DE CAUCHO N.C.P.;"49;49";"131;131";"037b;038";BIVORT S.R.L.;14 DE JULIO 652;14 DE JULIO;652;14 DE JULIO 652;652 14 DE JULIO;14 DE JULIO;652;3102;POINT(100083.236803 104776.795);5641172.4917360900;6172150.885373840;2019;6. Industria y Depósito
